dataset,gene,unit,index,index_knockdown,index_control,delta,bootstrap_CI95_low,bootstrap_CI95_high,per_sample_knockdown,per_sample_control,n_boot,chrom,strand,window_5prime_or_proximal,window_3prime_or_distal
NSC34,Stmn2,intron3,intronic polyadenylation index,0.605792060479743,0.629486130687385,-0.0236940702076418,-0.13419414559492,0.0635947624113955,0.6193;0.6369;0.5612,0.582;0.7468;0.5597,729.0,chr3,+,8548824-8549323,8554242-8554741
NSC34,Stmn2,termexon,distal 3'UTR usage index,0.373079023601774,0.374094968411404,-0.0010159448096296,-0.0319635700532248,0.0308896691755583,0.3504;0.3765;0.3924,0.3422;0.3871;0.393,729.0,chr3,+,8560266-8560935,8560936-8561606
NSC34,Gpsm2,termexon,distal 3'UTR usage index,0.242711876522881,0.281256755815201,-0.0385448792923193,-0.052952232384337,-0.0241375262003016,0.231;0.2541;0.2431,0.2682;0.2883;0.2873,729.0,chr3,-,108679221-108679803,108678638-108679220
NSC34,Gpsm2,intron11,intronic polyadenylation index,0.608546855267126,0.553639191445441,0.0549076638216849,-0.0536904639756833,0.176952810377535,0.5011;0.5934;0.7311,0.5563;0.6002;0.5044,729.0,chr3,-,108689216-108689715,108687050-108687549
NSC34,Gpsm2,intron10,intronic polyadenylation index,0.470961360778313,0.26141773359733,0.209543627180982,0.0910792213356781,0.324480492405822,0.3525;0.5541;0.5063,0.3211;0.2852;0.1779,729.0,chr3,-,108696399-108696898,108689887-108690386
NSC34,Agrn,termexon,distal 3'UTR usage index,0.447060868590447,0.506880646280976,-0.0598197776905289,-0.108132068351511,-0.0156190907590037,0.3987;0.4834;0.4591,0.5356;0.4974;0.4876,729.0,chr4,-,156165972-156166653,156165290-156165971
NSC34,Agrn,intron4,intronic polyadenylation index,0.447031210445332,0.582144651114432,-0.1351134406691,-0.374751518291918,0.104153284534681,0.5491;0.4932;0.2988,0.3544;0.8219;0.5702,729.0,chr4,-,156184538-156185037,156179659-156180158
NSC34,Agrn,intron2,intronic polyadenylation index,0.507304982922307,0.52420167170073,-0.0168966887784237,-0.0946235460161883,0.0685517548157577,0.4851;0.5928;0.4441,0.5545;0.5481;0.47,729.0,chr4,-,156194694-156195193,156186158-156186657
NSC34,Stim2,intron8,intronic polyadenylation index,0.447024803774302,0.393047277774042,0.05397752600026,-0.0974966412258903,0.20545169322641,0.5451;0.4674;0.3285,0.4108;0.5031;0.2652,729.0,chr5,+,54105449-54105948,54109153-54109652
NSC34,Stim2,intron13,intronic polyadenylation index,0.459433642614065,0.575477383656295,-0.11604374104223,-0.398502504189024,0.164174528487585,0.6613;0.2049;0.5121,0.4147;0.8057;0.5061,729.0,chr5,+,54116243-54116742,54117722-54118221
NSC34,Stim2,termexon,distal 3'UTR usage index,0.0618256750137802,0.0636424451828671,-0.0018167701690869,-0.0167559681476979,0.0145338011922928,0.0499;0.0782;0.0574,0.0556;0.0632;0.0721,729.0,chr5,+,54118272-54119664,54119665-54121057
NSC34,Atp2a2,termexon,distal 3'UTR usage index,0.385476598485574,0.381682398750014,0.0037941997355593,-0.0143774913809616,0.0313605670942967,0.3868;0.3802;0.3895,0.3984;0.3934;0.3532,729.0,chr5,-,122453909-122454304,122453513-122453908
NSC34,Atp2a2,intron20,intronic polyadenylation index,0.5118930518733,0.460779977633575,0.0511130742397253,0.012554465492234,0.0896716829872168,0.522;0.5375;0.4762,0.4426;0.497;0.4427,729.0,chr5,-,122455343-122455842,122454355-122454854
NSC34,Atp2a2,intron11,intronic polyadenylation index,0.65614814848868,0.602051633421759,0.0540965150669211,-0.0957734381369795,0.204280108208262,0.5794;0.684;0.705,0.4493;0.7533;0.6036,729.0,chr5,-,122465400-122465899,122462036-122462535
NSC34,Atp2a2,intron5,intronic polyadenylation index,0.510041322286,0.376137352738327,0.133903969547672,0.0172007741581016,0.266816501756385,0.5335;0.4364;0.5602,0.2343;0.4607;0.4334,729.0,chr5,-,122488332-122488831,122473341-122473840
NSC34,Orai1,termexon,distal 3'UTR usage index,0.217553643097655,0.230386749242388,-0.0128331061447326,-0.0928750277747087,0.0706536866880273,0.3022;0.213;0.1375,0.1909;0.263;0.2372,729.0,chr5,+,123029075-123029765,123029766-123030456
NSC34,Orai2,termexon,distal 3'UTR usage index,0.399805895406947,0.438114888020229,-0.0383089926132816,-0.0678084890306427,-0.005890482947985,0.4189;0.398;0.3825,0.4578;0.4057;0.4509,729.0,chr5,-,136149206-136150952,136147459-136149205
NSC34,Orai2,intron3,intronic polyadenylation index,0.729201481023295,0.674204466797645,0.0549970142256495,-0.112988460776657,0.239455906695312,0.6459;0.6145;0.9272,0.5969;0.6375;0.7882,729.0,chr5,-,136160937-136161436,136151003-136151502
NSC34,Actl6b,intron1,intronic polyadenylation index,0.578777194730916,0.503546349618997,0.0752308451119194,-0.109794226301074,0.325944537542358,0.5476;0.5368;0.6519,0.6837;0.5833;0.2437,729.0,chr5,+,137556707-137557206,137562557-137563056
NSC34,Actl6b,intron2,intronic polyadenylation index,0.687814278860586,0.614835465896518,0.0729788129640679,-0.0888768605283404,0.208484357724172,0.7146;0.6251;0.7237,0.5879;0.4788;0.7778,729.0,chr5,+,137563255-137563754,137563941-137564440
NSC34,Actl6b,intron10,intronic polyadenylation index,0.480288901836422,0.478458436812862,0.0018304650235599,-0.0531876156823327,0.0575093888425175,0.5144;0.4818;0.4447,0.4932;0.4228;0.5194,729.0,chr5,+,137567394-137567893,137568756-137569255
NSC34,Itpr1,intron33,intronic polyadenylation index,0.986351849324417,0.986618678479144,-0.000266829154727,-0.027563130505894,0.0267626430417128,1;0.9591;1,1;1;0.9599,729.0,chr6,+,108401564-108402063,108402722-108403221
NSC34,Itpr1,intron38,intronic polyadenylation index,0.398567493633432,0.503432051145986,-0.104864557512554,-0.424137722632851,0.216168457039493,0.3408;0.1351;0.7198,0.7504;0.3826;0.3773,729.0,chr6,+,108414004-108414503,108414720-108415219
NSC34,Itpr1,intron41,intronic polyadenylation index,0.706299073252263,0.756519907829466,-0.0502208345772028,-0.220393232625388,0.0878350101035518,0.5345;0.7377;0.8468,0.7407;0.7669;0.762,729.0,chr6,+,108423416-108423915,108430911-108431410
NSC34,Itpr1,termexon,distal 3'UTR usage index,0.426682785746455,0.423587784852915,0.00309500089354,-0.0184796442246595,0.027404173153295,0.4355;0.4177;0.4269,0.4268;0.4452;0.3988,729.0,chr6,+,108549753-108550430,108550431-108551109
NSC34,Setd5,intron1,intronic polyadenylation index,0.398565759160868,0.497206675667292,-0.098640916506424,-0.326167287991624,0.0772693050682591,0.4921;0.3305;0.3731,0.3728;0.7389;0.3799,729.0,chr6,+,113077763-113078262,113104385-113104884
NSC34,Setd5,intron4,intronic polyadenylation index,0.423225936266819,0.463867818532684,-0.0406418822658657,-0.0886341711606875,0.0359517905255332,0.4127;0.4345;0.4225,0.384;0.5013;0.5063,729.0,chr6,+,113107612-113108111,113108323-113108822
NSC34,Setd5,intron14,intronic polyadenylation index,0.475480981735026,0.483885894686286,-0.0084049129512604,-0.093776508495109,0.0741311693243305,0.5139;0.4076;0.505,0.428;0.4544;0.5693,729.0,chr6,+,113121861-113122360,113124799-113125298
NSC34,Setd5,intron15,intronic polyadenylation index,0.419068494993832,0.431594169605051,-0.0125256746112192,-0.0968504485234479,0.0717990993010095,0.3667;0.473;0.4175,0.5053;0.4309;0.3586,729.0,chr6,+,113130433-113130932,113137403-113137902
NSC34,Setd5,intron16,intronic polyadenylation index,0.570641971276778,0.562175563151352,0.0084664081254255,-0.073872422611365,0.090805238862216,0.6019;0.615;0.4951,0.6262;0.5612;0.4991,729.0,chr6,+,113138562-113139061,113143063-113143562
NSC34,Setd5,intron17,intronic polyadenylation index,0.608100587459649,0.572111852162869,0.0359887352967803,-0.0575859756933249,0.132142515884431,0.7049;0.5254;0.594,0.6204;0.5767;0.5192,729.0,chr6,+,113144134-113144633,113146890-113147389
NSC34,Setd5,intron18,intronic polyadenylation index,0.459853282315294,0.354588701181607,0.105264581133687,0.0582246547873078,0.142647170857949,0.4581;0.4499;0.4715,0.3424;0.4044;0.3169,729.0,chr6,+,113147789-113148288,113149005-113149504
NSC34,Setd5,termexon,distal 3'UTR usage index,0.501021984428977,0.518079614569487,-0.0170576301405108,-0.0350076026131,0.0003165891861642,0.4829;0.5167;0.5034,0.5278;0.5095;0.5169,729.0,chr6,+,113150862-113152148,113152149-113153435
NSC34,Itpr2,termexon,distal 3'UTR usage index,0.397409746707814,0.433383746473919,-0.0359739997661054,-0.0871544638453864,0.0152064643131757,0.4253;0.3601;0.4068,0.4422;0.3848;0.4732,729.0,chr6,-,146110028-146111757,146108299-146110027
NSC34,Itpr2,intron53,intronic polyadenylation index,0.749652235155481,0.686450028248251,0.0632022069072307,-0.0808540218406624,0.223425753152523,0.8118;0.7633;0.6738,0.8061;0.5119;0.7413,729.0,chr6,-,146179630-146180129,146173459-146173958
NSC34,Itpr2,intron51,intronic polyadenylation index,0.0128832775057975,0.0230814862751443,-0.0101982087693468,-0.0563611813196353,0.0257665550115949,0.0386;0;0,0.0692;0;0,729.0,chr6,-,146189906-146190405,146187616-146188115
NSC34,Stim1,intron11,intronic polyadenylation index,0.616832805232967,0.6043380755673,0.0124947296656666,-0.111874068027807,0.162701328053573,0.5469;0.767;0.5365,0.6301;0.6628;0.5201,729.0,chr7,+,102428917-102429416,102430201-102430700
NSC34,Stim1,intron12,intronic polyadenylation index,0.532723108618971,0.621397300811297,-0.088674192192326,-0.286657856776574,0.109309472391922,0.5037;0.7244;0.3701,0.497;0.6305;0.7366,729.0,chr7,+,102431326-102431825,102432647-102433146
NSC34,Stim1,intron13,intronic polyadenylation index,0.361946748184734,0.383614527570127,-0.0216677793853933,-0.243815246612137,0.200479687841351,0.561;0.2449;0.2799,0.5816;0.2313;0.338,729.0,chr7,+,102433284-102433783,102434834-102435333
NSC34,Stim1,termexon,distal 3'UTR usage index,0.384154559863137,0.433949863925299,-0.0497953040621616,-0.100590507738096,0.0018762531828472,0.399;0.3736;0.3798,0.4868;0.3799;0.4351,729.0,chr7,+,102435384-102436351,102436352-102437319
NSC34,Orai3,intron2,intronic polyadenylation index,0.610199561075158,0.528041727859532,0.0821578332156255,-0.0159995237346697,0.164039617862319,0.5655;0.6508;0.6143,0.4752;0.6346;0.4743,729.0,chr7,+,127770929-127771428,127773007-127773506
NSC34,Orai3,termexon,distal 3'UTR usage index,0.409534725766777,0.40604641810928,0.0034883076574976,-0.0713095010856377,0.0919913996053466,0.4002;0.4443;0.3842,0.4805;0.3162;0.4214,729.0,chr7,+,127773557-127774353,127774354-127775150
NSC34,Cracr2b,termexon,distal 3'UTR usage index,0.193470387718388,0.213897389418232,-0.0204270016998438,-0.07270190686249,0.0318479034628023,0.2339;0.2035;0.143,0.2421;0.2235;0.1761,729.0,chr7,+,141466009-141466310,141466311-141466613
NSC34,Saraf,intron2,intronic polyadenylation index,0.405648055971286,0.408044874959316,-0.0023968189880305,-0.180187154808073,0.217433658939361,0.4488;0.4385;0.3297,0.4528;0.5865;0.1848,729.0,chr8,+,34155464-34155963,34157931-34158430
NSC34,Saraf,intron5,intronic polyadenylation index,0.77847433042657,0.573979038813493,0.204495291613076,0.0152990084155956,0.342505650903899,0.7781;0.8258;0.7316,0.7787;0.4875;0.4558,729.0,chr8,+,34165591-34166090,34167169-34167668
NSC34,Saraf,intron6,intronic polyadenylation index,0.463693663559627,0.4546183374295,0.0090753261301261,-0.107704770969446,0.125626992039528,0.3577;0.5031;0.5302,0.5631;0.3852;0.4156,729.0,chr8,+,34168662-34169161,34169546-34170045
NSC34,Saraf,termexon,distal 3'UTR usage index,0.277896746594747,0.305593430770985,-0.0276966841762378,-0.0716442287119055,0.0047690731293147,0.2717;0.2821;0.2799,0.3505;0.2724;0.2939,729.0,chr8,+,34170096-34170470,34170471-34170845
NSC34,Micu3,intron4,intronic polyadenylation index,0.216251507719063,0.223210746996364,-0.0069592392773006,-0.129806754959051,0.116095414300631,0.1416;0.1968;0.3104,0.2184;0.3258;0.1254,729.0,chr8,+,40349069-40349568,40351486-40351985
NSC34,Micu3,intron5,intronic polyadenylation index,0.327989189853219,0.461138151350066,-0.133148961496847,-0.204570052110945,-0.061493357628976,0.2821;0.3842;0.3176,0.4069;0.4567;0.5198,729.0,chr8,+,40352134-40352633,40353753-40354252
NSC34,Micu3,intron8,intronic polyadenylation index,0.418589125483724,0.439692098610239,-0.0211029731265155,-0.142325885121785,0.100119938868754,0.3974;0.3202;0.5382,0.3916;0.5366;0.3909,729.0,chr8,+,40359499-40359998,40365599-40366098
NSC34,Micu3,intron9,intronic polyadenylation index,0.501408455321639,0.537692054793326,-0.0362835994716868,-0.152111533909752,0.0678187534843955,0.4497;0.4971;0.5575,0.449;0.6535;0.5106,729.0,chr8,+,40366295-40366794,40374987-40375486
NSC34,Micu3,intron12,intronic polyadenylation index,0.639213829752857,0.617087765607987,0.0221260641448696,-0.174442691383966,0.202231955354911,0.4426;0.7352;0.7398,0.5012;0.7443;0.6058,729.0,chr8,+,40378991-40379490,40380122-40380621
NSC34,Micu3,intron13,intronic polyadenylation index,0.397592592466699,0.373471242415163,0.0241213500515368,-0.336699625988597,0.39747440712161,0.1928;0.603;0.397,0.4481;0.6723;0,729.0,chr8,+,40380880-40381379,40381559-40382058
NSC34,Micu3,intron14,intronic polyadenylation index,0.589383613878093,0.59979317532977,-0.0104095614516763,-0.149733868284282,0.12896032072786,0.5186;0.5765;0.673,0.615;0.724;0.4604,729.0,chr8,+,40382228-40382727,40384059-40384558
NSC34,Micu3,termexon,distal 3'UTR usage index,0.540868304730256,0.580765464709123,-0.0398971599788669,-0.0643232232997119,-0.0102298739945587,0.5303;0.5706;0.5217,0.5892;0.5883;0.5649,729.0,chr8,+,40384609-40385458,40385459-40386308
NSC34,Unc13a,termexon,distal 3'UTR usage index,0.348194548795296,0.367804965393285,-0.0196104165979888,-0.0819375966222952,0.0390932243535869,0.3863;0.3399;0.3184,0.4301;0.322;0.3513,729.0,chr8,-,71627070-71629723,71624417-71627069
NSC34,Unc13a,intron41,intronic polyadenylation index,0.364378147418774,0.340002164263918,0.0243759831548552,-0.0274687224878166,0.076220688797527,0.3285;0.3512;0.4134,0.3106;0.3812;0.3281,729.0,chr8,-,71632889-71633388,71631097-71631596
NSC34,Unc13a,intron37,intronic polyadenylation index,0.611401818711541,0.551700873599692,0.059700945111849,0.0200642982167636,0.102924668831775,0.6571;0.5694;0.6077,0.5382;0.5549;0.562,729.0,chr8,-,71635988-71636487,71635277-71635776
NSC34,Unc13a,intron36,intronic polyadenylation index,0.423286499006156,0.433365448382996,-0.01007894937684,-0.0805184520183028,0.0603605532646229,0.4288;0.3604;0.4806,0.4715;0.3804;0.4481,729.0,chr8,-,71637222-71637721,71636618-71637117
NSC34,Unc13a,intron35,intronic polyadenylation index,0.398798444268213,0.33400188001663,0.0647965642515828,0.0134195458741488,0.117990845686911,0.3788;0.3656;0.452,0.3626;0.294;0.3454,729.0,chr8,-,71638667-71639166,71637978-71638477
NSC34,Unc13a,intron33,intronic polyadenylation index,0.110729632837574,0.117332964284616,-0.0066033314470418,-0.057399821078748,0.0559117396371631,0.1288;0.1173;0.086,0.1405;0.1606;0.051,729.0,chr8,-,71640806-71641305,71639874-71640373
NSC34,Unc13a,intron29,intronic polyadenylation index,0.485578802583476,0.499070823116331,-0.0134920205328549,-0.208724831791446,0.196321215626344,0.6981;0.2875;0.4712,0.4876;0.4955;0.5141,729.0,chr8,-,71644003-71644502,71643226-71643725
NSC34,Unc13a,intron25,intronic polyadenylation index,0.561892183235265,0.550889486284465,0.0110026969508005,-0.104659473413927,0.126664867315528,0.4655;0.6644;0.5558,0.5472;0.4787;0.6268,729.0,chr8,-,71647351-71647850,71646034-71646533
NSC34,Unc13a,intron10,intronic polyadenylation index,0.807868742307707,0.8099359035796,-0.0020671612718929,-0.0736406894650835,0.0937752883564534,0.8219;0.7754;0.8263,0.8764;0.8407;0.7126,729.0,chr8,-,71657453-71657952,71656352-71656851
NSC34,Unc13a,intron8,intronic polyadenylation index,0.551568617796404,0.562315437473988,-0.0107468196775836,-0.0811205502177166,0.0596269108625493,0.5043;0.5321;0.6183,0.5868;0.5015;0.5987,729.0,chr8,-,71659791-71660290,71658852-71659351
NSC34,Unc13a,intron3,intronic polyadenylation index,0.433774047502223,0.511501751531273,-0.0777277040290501,-0.162469841841838,0.015467520309731,0.3469;0.5291;0.4253,0.5212;0.5099;0.5034,729.0,chr8,-,71665429-71665928,71664327-71664826
NSC34,Unc13a,intron1,intronic polyadenylation index,0.454836654714471,0.398313503252805,0.0565231514616655,-0.0015177348011229,0.126214602016788,0.426;0.4866;0.4519,0.3275;0.4426;0.4248,729.0,chr8,-,71671076-71671575,71668133-71668632
NSC34,Elavl3,termexon,distal 3'UTR usage index,0.461136694776352,0.447054244720803,0.0140824500555489,-0.0271574507175315,0.0512804567169964,0.4836;0.4559;0.4438,0.4923;0.4205;0.4283,729.0,chr9,-,22016930-22018854,22015005-22016929
NSC34,Elavl3,intron6,intronic polyadenylation index,0.327903975400343,0.316936436776242,0.010967538624101,-0.0660398165945031,0.0883413963247339,0.4053;0.265;0.3135,0.3396;0.2602;0.351,729.0,chr9,-,22022261-22022760,22018905-22019404
NSC34,Elavl3,intron5,intronic polyadenylation index,0.38317670865031,0.450727555249348,-0.0675508465990378,-0.166359904592037,0.0307548825473865,0.3931;0.4556;0.3008,0.4401;0.3852;0.5269,729.0,chr9,-,22025623-22026122,22024763-22025262
NSC34,Elavl3,intron3,intronic polyadenylation index,0.381850549967832,0.328879852394083,0.0529706975737493,-0.0259435781465718,0.13188497329407,0.3994;0.3053;0.4409,0.2651;0.3663;0.3552,729.0,chr9,-,22035762-22036261,22026712-22027211
NSC34,Elavl3,intron1,intronic polyadenylation index,0.478530453554278,0.562196739250256,-0.0836662856959772,-0.155182262238526,-0.0123219686464576,0.4163;0.4918;0.5275,0.62;0.5167;0.5499,729.0,chr9,-,22051040-22051539,22036911-22037410
